Marca temporal,"Imagine que está en una conferencia de Educación. Un colega que trabaja en otra Institución Educativa le pregunta si recientemente probó algo diferente con sus alumnos que produjo resultados positivos, negativos, interesantes o mixtos.  Comparta aquí lo que le contaría a su colega:",Sugiera un #hashtag o título para su respuesta anterior:,P1 Mi experiencia produjo…,Pensando en la experiencia/ejemplo que compartí…Me enfoqué en…,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de…,Lo que hice fue a pesar de…, Las decisiones fueron influenciadas por…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes de les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Institución Educativa,Tipo,Esta situación me generó una sensación de…, Esta situación pasa…,Esta situación está relacionada con…,Grado en el que enseña, Género, Edad, El nivel de educación,marca
11/6/2020 10:44:11,"Recientemente en mi clase de inglés las estudiantes pedían mucho que en nuestras clases debíamos ver episodios en Netflix. Decidí buscar un capítulo en Netflix,alusivo al tema que estábamos viendo en nuestra materia y luego realizar un ejercicio de Speaking.",#speakingwithnetflix,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Colegio Compañia De Maria La Enseñanza,Oficial ,Felicidad,De vez en cuando,Innovación / creatividad,"9, 10, 11",Mujer,15 a 19 años,Universitario,1
11/6/2020 11:02:13,"Sí. Realicé una actividad en línea para realizar una aplicaciones, donde debían poner una respuesta cerrada, ya que era una clase de matemáticas. Este espacio les generó diversos sentimientos ya que, al terminar la actividad, el programa les regresa la calificación con las opciones malas señaladas.  Algunas estudiantes estaban muy contentas con esta actividad ya que les enviaba de manera inmediata sus resultados, pero otras, estaban muy aburridas ya que, por pequeños errores, el programa no les tenía en cuenta el proceso.
Este espacio generó reflexiones interesantes ya que, yo, siempre les reviso el proceso y la forma en la que analizaron la situación y no es tan relevante la respuesta. 
Valoraron el papel hecho por el docente.
",El proceso es más importante que el resultado,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Colegio Compañia De Maria La Enseñanza,Oficial ,Felicidad,Con Frecuencia,Tecnología y herramientas digitales,7,Mujer,30 a 39,Bachiller,2
11/6/2020 10:41:56,"La experiencia que he vivido, y sus resultados, Los aprendizajes desarrollados y el sentir de los estudiantes, como lo tomaron y cual fue su aprendizaje, si cumplió mi objetivo ",#jugandoaprendo,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Colegio San Jose De Las Vegas ,Privado,Felicidad,Con Frecuencia,Innovación / creatividad,8,Mujer,50 a 59,Universitario,3
11/6/2020 10:53:38,"Realice un obra de teatro sobre la historia de las matemáticas.
Desde sus saberes previos
Se definieron conceptos y se realizaron juegos como crear un sistema numérico ",#las matemáticas son divertidas,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Colegio Universidad Virtual De Colombia ,Privado,Felicidad,Con Frecuencia,Innovación / creatividad,"3, 7, 8, 9, 10, 11",Mujer,50 a 59,Universitario,4
11/6/2020 11:00:53,tener en cuenta a los padres en las actividades académicas de sus hijos ,#integración familiar ,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Colegio Universidad Virtual De Colombia ,Privado,Felicidad,De vez en cuando,El trabajo en equipo,"3, 4, 5, 6, 7, 8, 9",Mujer,30 a 39,Universitario,5
11/13/2020 18:44:50,"Le expresaría la iniciativa que he tenido la iniciativa de  por buscar nuevas estrategias de aprendizaje, que recientemente inicie unos acompañamiento detallados en la  búsqueda de mejorar la calidad académica de la I.E.",#Juntosloharemosmejor,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,Colegio Universidad Virtual De Colombia ,Privado,Felicidad,De vez en cuando,El trabajo en equipo,"3, 4, 5, 6",Hombre,20 a 29,Universitario,6
11/6/2020 17:32:15,Escritura de relatos pedagógicos desde los docentes rurales,#maestrosruralesreflexionansupráctica,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Corporación Centro De Ciencia Y Tecnología De Antioquia,Privado,Felicidad,Casi nunca,Mi aporte a la humanidad/al mundo/a los demás,,Mujer,40 a 49,Postgrado,7
11/6/2020 21:13:25,Realizamos un taller de lecturas de ciudad donde tomamos la institución como ciudad escuela y los jovenes aprendieron mucho sobre su entorno escolar y socio cultural inmediato.,#lecturasdeciudad. ,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Fe Y Alegria La Cima. ,Oficial ,no estoy seguro,Casi nunca,Mi aporte a la humanidad/al mundo/a los demás,7,Mujer,50 a 59,Postgrado,8
11/6/2020 18:39:19,"Si una experiencia nueva con la forma de enseñar matemáticas para primaria sin miedos y lograr en básica secundaria adaptaciones de la matemática, física e informática en la vida diaria",#larealidaddesoñar,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Individual/independientemente,Liderado por el estudiante,Necesidades emergentes,Francisco Luis Hernández Betancur,Oficial ,Felicidad,Con Frecuencia,Liderazgo,"4, 5, 9, 10, 11",Hombre,30 a 39,Universitario,9
11/5/2020 8:49:19,"Algunos estudiantes manejen inadecuadamente los residuos sólidos en el salón de clase, este es desordenado, sucio y poco les interesaba mantener el orden.
A través de Campañas educativas he logrado concientizar a los estudiantes y crear sentido de pertenencia en ellos, concientizarlos sobre la importancia del cuidado del medio ambiente y el uso adecuado de las basuras",Conciencia ecológica,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Fundación Mundo Mejor Sede La Pradera,Privado,Felicidad,Con Frecuencia,El cuidado del medio ambiente,,Mujer,50 a 59,Universitario,10
11/6/2020 17:36:41,"En el centro infantil donde trabajo es muy pequeño  y no cuenta con un espacio amplio para el desarrollo motriz grueso, por lo que adecue un espacio en el cual  hice un circuito con las huellas de las manos y pies de los niños y las niñas, las pegue en el piso y en la pared  y utilice otros implementos como aros, conos  y el túnel, invitando a los niños y las niñas a pasar por el mismo. al tiempo que se divertían estimule su motricidad y aun sigue  siendo útil para todos los niños y niñas del centro infantil. además  con el se puede trabajar colores, formas, conteo, etc",un circuito es lo mejor.,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,Fundación Mundo Mejor Sede La Pradera,Privado,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,,Mujer,50 a 59,Universitario,11
11/6/2020 10:59:36,"Si, en una clase de artística, donde se debía explicar la guía a realizar, aproveche para hacer un traumátropo, que es una manualidad de imágenes en movimiento y como también soy docente de lengua castellana, les pedí que en dos minutos contaran una pequeña historia dándole vida al traumátopo no solo con el movimiento de las imágenes sino también con la  historia narrada.  
A la siguiente clase de Lengua castellana, fue mas fácil, enseñar sobre la narración. 
Y como en la clase virtual, ellos mismos crearon su traumátropo, les gusto mucho la parte artística y la narración. ",#Narraresarte.,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,IE Barrio Santander,Oficial ,Felicidad,De vez en cuando,Innovación / creatividad,6,Mujer,40 a 49,Universitario,12
11/13/2020 18:43:28,"Para que las alumnas estuvieran motivadas y siempre se unieran a la clase en meet asigne en cada encuentro 3 alumnas las cuales compartian en pantalla la guía y actividades que se iba a trabajar en el encuentro, pero no asignaba con anterioridad si no en el momento de la clase todas ingresaban puntuales",#sincrónico ,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE Centro Formativo De Antioquia ,Privado,Felicidad,Todo el tiempo,Innovación / creatividad,"6, 11",Mujer,50 a 59,Bachiller,13
11/6/2020 10:41:54,,,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,IE José Asunción Silva,Oficial ,Felicidad,Todo el tiempo,Tecnología y herramientas digitales,"6, 9",Hombre,60 a 69,Postgrado,14
11/6/2020 11:18:02,"En mis actividades incluyo dibujos en cada tema y mapas conceptuales ya que a algunos de mis estudiantes se les dificulta expresar ciertas ideas por medio de la escritura y me da buenos resultados de echo en octavo hay un niño repitente,  al final del año pasado vi que él tenía la habilidad de dibujar y trabajar lo práctico y en este año en todas las actividades hay dibujos  y es uno de los que trabajan y también se ve reflejado en otros estudiantes.   
en estos momentos de pandemia los estudiantes deben identificar desde sus hogares ciertas características  relacionado con el tema, los deben dibujar  y hacen algunas practicas desde su casa y lo plasma por medio de dibujos.",#cienciasnaturalesanimadas,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Dar soporte emocional a los estudiantes,Individual/independientemente,Liderado por el estudiante,Necesidades emergentes,IE José Asunción Silva,Oficial ,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,"8, 10, 11",Mujer,30 a 39,Bachiller,15
11/6/2020 17:40:01,"Como maestro de Educación física en grado once, diagnosticando cada grupo de once en habilidades y destrezas, me idee un proyecto de presentación de habilidades y destrezas en baile, teatro, logística y decoración para potenciar las diversas fortalezas de cada estudiante, partiendo de sus intereses y necesidades, y de qué a su edad ya deben mostrar sus talentos. Es así como debían hacer un montaje artístico con coreografías a partir de los gustos de cada grupo. Fomenta a él trabajo en equipo, el liderazgo, el emprendimiento. Conté con rl as poyo de otros maestros como artística. El proyecto lo hice por 3 años. ",#EscudrñaTuPotencial,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE José Asunción Silva,Oficial ,Felicidad,Con Frecuencia,Innovación / creatividad,11,Hombre,50 a 59,Postgrado,16
11/6/2020 10:45:00,"Si, probé medir la distancia de la tierra usando un vara de madera que proyecta la sombra del sol",#Aprenderhaciendo,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,IE Jose Eusebio Caro,Oficial ,Felicidad,Muy rara vez,La forma cómo los estudiantes aprenden,7,Hombre,30 a 39,Postgrado,17
11/13/2020 18:44:34,#bitacorasdeviajeatravesdelaimaginacion ,#bitacorasdeviajeatravesdelaimaginacion ,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,IE La Independencia ,Oficial ,Felicidad,No se,La forma cómo los estudiantes aprenden,7,Mujer,50 a 59,Postgrado,18
11/13/2020 19:02:58,aprender de geografía e historia narrando viajes  imaginarios con imágenes y dibujos  y por supuesto con la,#viajando  con la imaginacion ,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,,Liderado por el maestro,Prácticas establecidas,IE La Independencia ,Oficial ,Felicidad,No se,Innovación / creatividad,7,Mujer,50 a 59,Postgrado,19
11/6/2020 17:39:20,"Creación de una emisora escolar para escuchar por internet, con programas educativos, de promoción lectora y de asuntos de interés para los chicos y las familias.",#EmisoraEscolar,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Individual/independientemente,Liderado por el maestro,Necesidades emergentes,IE La Independencia ,Oficial ,Felicidad,Con Frecuencia,Innovación / creatividad,3,Mujer,40 a 49,Universitario,20
