Marca temporal,"Imagine que está en una conferencia de Educación. Un colega que trabaja en otra Institución Educativa le pregunta si recientemente probó algo diferente con sus alumnos que produjo resultados positivos, negativos, interesantes o mixtos.  Comparta aquí lo que le contaría a su colega:",Sugiera un #hashtag o título para su respuesta anterior:,P1 Mi experiencia produjo…,Pensando en la experiencia/ejemplo que compartí…Me enfoqué en…,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de…,Lo que hice fue a pesar de…, Las decisiones fueron influenciadas por…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes de les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Institución Educativa,Tipo,Esta situación me generó una sensación de…, Esta situación pasa…,Esta situación está relacionada con…,Grado en el que enseña, Género, Edad, El nivel de educación,marca
11/6/2020 10:38:33,Como enseñar Inglés  mediante retos,#elInglessevive,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,IE La Independencia ,Oficial ,Felicidad,De vez en cuando,Innovación / creatividad,10,Mujer,40 a 49,Postgrado,21
11/6/2020 11:03:15,"SI efectivamente  la actividad desarrollada con mis estudiantes produjo cambios  en ,los estudiantes y participación  de la institución , soy docente de Aceleración  y se propuso una actividad de uno de los módulos del programa  modulo  La escuela espacio de convivencia   la actividad  la vacuna por el buen trato  en la semana del convivencia ,movilizo  la Institución desde el área de ética de valores se organizó una jornada de vacunación con las docentes  asumiendo el rol de enfermeras, se elaboraron  carteles alusivos  vacuna por el buen trato, convivencia, tolerancia , respeto, solidaridad entre otras, luego de recibir la dosis  preparada  con  agua saborizada,  se  realizaron actos por grados promoviendo  la convivencia  mediante cantos  ,poesías,  mensajes.  y al finalizar cada docente dió el refuerzo con un dulce  vitamina respetín 50% de buen trato . fue una experiencia maravillosa, que inicialmente se  experimentó en  el aula  y luego Institucional



    


























",# Viviendo  en convivencia,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,Habilidades y capacitación,La IE y la Secretaría,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,IE La Independencia ,Oficial ,Felicidad,De vez en cuando,El trabajo en equipo,5,Mujer,20 a 29,Primaria,22
11/6/2020 10:48:32,"con mis estudiantes de 7° trabajando el pensamiento computacional en matemáticas quería que investigarán sobre un personaje, y no quería que fuera la típica investigación que uno les plantea ( investiga sobre...), entonces cree una propuesta gamificada en donde debían resolver un cuestionario en google y este les daba una clave para abrir un pdf que contenía el secreto de dicho personaje.",#AprendeDiferente,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE La Independencia ,Oficial ,Felicidad,De vez en cuando,Innovación / creatividad,"7, 10",Hombre,30 a 39,Postgrado,23
11/6/2020 10:56:36,"Estamos trabajando con los niños como era la comunicación en los seres vivos, como hacían a las platas, los animales y el hombre. Hasta llegar al tema de la carta, donde se les propuso escribir una carta a uno de sus compañeros. Aquí llegamos al punto donde surgen muchas posturas que dejan ver la importancia de el contacto con el otro para generar encuentros y la oportunidad de crear encuentros en el poco tiempo que logramos estar en la escuela. ",Llego Carta ,Resultados interesantes,El desarrollo social del alumno,Comprensión del mundo que los rodea,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE La Independencia ,Oficial ,Felicidad,Con Frecuencia,Relación con los estudiantes,,Mujer,30 a 39,Postgrado,24
11/6/2020 10:48:01,Trabajar un proyecto de medio ambiente desde la virtualidad y llevarlo a la práctica en medio del confinamiento por la pandemia. ,#amorporelmedioambiente,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,IE La Independencia ,Oficial ,Felicidad,Con Frecuencia,El cuidado del medio ambiente,,Mujer,40 a 49,Postgrado,25
11/6/2020 10:55:17,"Compañero te cuento que realice una carrera de observación virtual, parecía loco porque siempre hemos necesitado el espacio físico para construí las pistas y desarrollar el trabajo con los chicos pero me las ingenié. El objetivo era hacer un repaso de lo aprendido sobre Normatividad acerca de Primera Infancia y el Concepto de la Niñez a través del tiempo, en medio de las clases de la media técnica en Atención Integra a la primera infancia en la cual soy tutora, así que pensé en cómo hacer una carrera de observación desde la virtualidad, fue todo un reto pero pensé en la primera pista y de ahí la otra y la otra.
La primera fue 1. Si recuerdas bien el concepto podrás ir a la página web de la institución reglamenta lo concerniente con ellos. “Primer período de la vida de la persona, comprendido entre el nacimiento y el principio de la adolescencia” (Niñez) luego buscaran en la página web de la institución que vela por su cuida ósea el bienestar familiar y que allí observarán el logo y miraran que estaba en negro y así sucesivamente, te lo puedo compartir.
Al aplicarlo lo primero que les pedí es que formaran equipos de trabajo , crearan una porra y elaboraran un distintivo, luego les indique las pistas por correo electrónico y empezaron a trabajar fue muy divertido , finalmente el equipo de Arriba sombrillas; (mi-equipo) esta que brilla, abrió el micrófono canto su porra y dijo infancia como lo pedía la última pista y  fue el ganador. De esta manera pudimos repasar de manera divertida los conceptos, aprender a usar la información que esta relacionada con la primera infancia como la página del ministerio de educación, el ICBF, Ministerio de Protección y la página web institucional y reflexionar que la virtualidad como herramienta nos permite compartir y aprender.
Anexo vía email la propuesta .
Gracias",#CarreradeObservaciónVirtual,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,IE Manuel José Gómez Serna,Oficial ,Felicidad,Con Frecuencia,Innovación / creatividad,10,Mujer,30 a 39,Postgrado,26
11/6/2020 17:42:46,"En la I.E. Nicanor Restrepo Santamaría en el barrio Robledo la Huerta de Medellín, se presentaba la siguiente situación: Las mascotas ingresaban a la institución, ya que durante el día estas eran dejadas en la calle por sus propietarios. Se inicio un proyecto con los grados 6º y 7º, donde se les enseño a los chicos la importancia del buen cuidado  de las mascotas, y en el desarrollo de este proyecto los estudiantes aprendieron hacer alimento para mascotas, juguetes, procesos de estampación casera, aprendieron de rehabilitación de animales, con un perro que fue adoptado por la institución se realizo un proceso de entrenamiento con indicaciones básicas como sentarse, dar la pata y acostarse, se utilizo la impresión 3d para el diseño y elaboración de accesorios, entre otras habilidades. Después del proyecto, se empezaron a ver una menor cantidad de perros en la calle, los pocos que se veían estaban en mejores condiciones (mejor cuidados), y se observo como los estudiantes promueven el respeto por los animales.",#PetLovers,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE Nicanor Restrepo Santamaría,Oficial ,Felicidad,Con Frecuencia,El trabajo en equipo,"6, 7, 8",Hombre,30 a 39,Universitario,27
11/6/2020 10:44:41,"En la clase de diseño gráfico, tenían pereza para ilustrar y diseñar. Yo utilicé la fecha Halloween para que crearan un personaje con características animales, objetuales y usaran personificación. El resultado sería la construcción de su propio disfraz para esta fecha. En la siguiente clase, debían asistir disfrazados. ",#Halloweenpormi,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,IE Pablo Neruda,Oficial ,Felicidad,De vez en cuando,Innovación / creatividad,"10, 11",Mujer,40 a 49,Universitario,28
11/13/2020 18:46:56,"A partir de la necesidad de reciclar, reducir y reatulizar. Invito a mis estudiantes que con material reciclado y que puede ser reutilizado, creen una manualidad, hagan su promoción de venta para el mes de septiembre. Pensando en emprendimiento.",#reciclarmeenseña,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE Porfirio Barba Jacob,Oficial ,Felicidad,Con Frecuencia,El cuidado del medio ambiente,3,Hombre,50 a 59,Postgrado,29
11/6/2020 10:41:48,Recetas de cocina para enseñar mezclas ,#missabrosasmezclas,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE Republica De Uruguay,Oficial ,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,10,Mujer,40 a 49,Postgrado,30
11/13/2020 18:47:53,Le pedi a mis alumnos que hicieran videos en momentos especiales donde conpatian con la familia y se motivaron tanto que era dificil ver todos los vídeos.,#relatos de familia,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE San Francisco De Asis,Oficial ,Felicidad,Con Frecuencia,Mi aporte a la humanidad/al mundo/a los demás,9,Mujer,40 a 49,Postgrado,31
11/6/2020 10:44:19,Viernes saludable y lectura en familia,#viernesen familia,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE San Lorenzo De Aburrá,Oficial ,Felicidad,Con Frecuencia,Relación con los padres de familia,"3, 4, 5, 6, 7, 8, 9, 10, 11",Hombre,50 a 59,Técnico,32
11/6/2020 10:51:17,"Si, con los estudiantes del grado noveno, y el tema de soluciones, resulta que por lo de la modalidad de virtualidad, los docentes en la institución estamos elaborando unas guías o módulos que tiene actividades muy concretas y de interpretación de la información. Otras se ajustan más a los estudiantes que me acompañan en la virtualidad, consiste en desarrollar laboratorios con phet por ejemplo, pero aún siento que este material no fue suficiente, dado que los padres de familia indican que no son temas para la edad de sus hijos, que son temas muy avanzados.",#elAprendizajeNOtieneEdad,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,IE Stella Vélez Londoño,Oficial ,no estoy seguro,Con Frecuencia,La forma cómo los estudiantes aprenden,9,Mujer,30 a 39,Postgrado,33
11/6/2020 17:48:05,"Al comienzo del año tuve una estudiante llamada dulce María Martínez su en constantemente lloraba, reclamaba a su madre, se escapaba a los alrededores del colegio y no quería entrar al salón no mostraba interés al realizar las actividades propuestas; la maestra empezo a motivarla e incentivarla lo que le generó confianza y al día de hoy es una niña que participa en todas las actividades propuestas",#ludica,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,IE Vallejuelos,Oficial ,Felicidad,Con Frecuencia,El trabajo en equipo,,Mujer,,Primaria,34
11/6/2020 10:43:29,"Le contaría que probé aprender electrónica básica utilizando simuladores de Tinkercad para montar circuitos en protobard. Después de eso, los estudiantes comenzaron a realizar montajes en el laboratorio realizando mediciones más acertadas y con menos errores, al tiempo que comprendieron los conceptos de voltaje, corriente y resistencia. ",#EnseñarElectronica,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Instituto Técnico Industrial Pascual Bravo,Oficial ,Felicidad,Con Frecuencia,Tecnología y herramientas digitales,"8, 9, 10, 11",Mujer,40 a 49,Postgrado,35
11/6/2020 10:55:21,Le contaría que he descubierto que los niños más tímidos en términos de participación en la institución educativa son los más activos y dinámicos utilizando los medios virtuales.,#lavirtualidadnosanimaaparticipar,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,La IE y la Secretaría,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Pedro Claver Aguirre,Oficial ,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,3,Hombre,50 a 59,Primaria,36
11/6/2020 10:53:02,"En el inicio de este año implementé con mis chicos de los grados quinto, sexto y séptimo en el área de ciencias naturales el trabajo en un cuaderno que llamamos ¨Bitácora¨ es un cuaderno totalmente en blanco, sin márgenes ni renglones,  mi objetivo era mejorar un poco la expresión escrita de los estudiantes quienes a la hora de expresarse eran demasiado lacónicos, poco expresivos sin mucha imaginación y creatividad y quería que fueran mas expresivos y observadores ya que en el área de las ciencias implemente una metodología de indagación y resolución de problemas. ",# Mi cuaderno mi primera obra de arte ,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,San Peruchito Andes ,Privado,Felicidad,Todo el tiempo,La forma cómo los estudiantes aprenden,"5, 6, 7",Mujer,50 a 59,Postgrado,37
11/6/2020 10:46:23,"Probé utilizar la gamificación en la formación, tuve excelentes resultados, mis estudiantes estuvieron muy motivados, participaron, se divirtieron, aprendieron y quedaron muy motivados.",#gamificando mis clases,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,Sena,Privado,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,,Mujer,50 a 59,Postgrado,38
